Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
159,James Ennis III\ennisja01,SF,31,BRK,2,0,7,1,3.5,0.286,0.5,1,0.5,0.5,2.5,0.2,0.357,0,0,,1,1.5,2.5,0,0.5,0.5,0,0,2.5
159,James Ennis III\ennisja01,SF,31,LAC,2,0,14,3.5,5.5,0.636,1,2,0.5,2.5,3.5,0.714,0.727,2,2,1,1,1.5,2.5,0,0.5,0.5,0.5,2,10
159,James Ennis III\ennisja01,SF,31,DEN,3,0,4.7,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0.3,0,0.3,0.3,0.7,1,0,0,0.3,0.3,1.3
160,Drew Eubanks\eubandr01,C,24,SAS,49,9,12.1,1.7,3.2,0.528,0,0.2,0.125,1.7,3.1,0.55,0.531,1.2,1.6,0.747,1.3,2.7,4,1,0.3,0.6,0.9,1.2,4.7
161,Tacko Fall\fallta01,C,26,CLE,11,1,5.4,0.5,1.1,0.417,0,0,,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0,0.5,0.3,0.3,1.1
162,Derrick Favors\favorde01,C,30,OKC,35,16,16.4,2.2,4.5,0.497,0.1,0.4,0.154,2.2,4.1,0.528,0.503,0.4,0.6,0.636,1.5,3.2,4.7,0.7,0.4,0.2,0.2,1.5,4.9
163,Bruno Fernando\fernabr01,C,23,BOS,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0,0.2,0.3,0.3,1
164,Dorian Finney-Smith\finnedo01,PF,28,DAL,54,54,32.5,3.7,8.5,0.435,1.9,5.1,0.363,1.8,3.4,0.544,0.545,0.8,1.2,0.688,1.6,3.2,4.8,2,1.2,0.5,1.1,2.2,10.1
165,Malik Fitts\fittsma01,PF,24,UTA,7,0,5,0.3,1.3,0.222,0.3,0.6,0.5,0,0.7,0,0.333,0,0,,0,1.4,1.4,0,0,0,0.3,0.4,0.9
166,Malachi Flynn\flynnma01,PG,23,TOR,31,1,8.6,1.1,3.1,0.365,0.5,1.6,0.28,0.7,1.5,0.457,0.438,0.2,0.3,0.667,0.2,0.8,1,1,0.4,0.1,0.3,0.9,2.9
167,Bryn Forbes\forbebr01,SG,28,TOT,51,1,17.7,3.3,7.8,0.425,1.6,3.9,0.41,1.7,3.9,0.439,0.528,1,1.1,0.897,0.1,1.4,1.5,1.1,0.4,0.1,0.8,1.3,9.3
167,Bryn Forbes\forbebr01,SG,28,SAS,40,1,16.9,3.2,7.4,0.432,1.6,3.8,0.417,1.6,3.6,0.448,0.539,1.1,1.2,0.898,0.1,1.5,1.6,1,0.4,0.1,0.8,1.1,9.1
167,Bryn Forbes\forbebr01,SG,28,DEN,11,0,20.5,3.7,9.3,0.402,1.7,4.5,0.388,2,4.8,0.415,0.495,0.7,0.8,0.889,0.2,1,1.2,1.3,0.1,0,0.5,2,9.9
168,Aleem Ford\fordal03,SF,24,ORL,5,0,14.8,1.2,4,0.3,0.4,3,0.133,0.8,1,0.8,0.35,0,0,,0.4,2.6,3,0.4,0.2,0,0.8,1.4,2.8
169,Trent Forrest\forretr01,PG,23,UTA,43,4,12,1.2,2.2,0.552,0.1,0.3,0.2,1.2,1.9,0.617,0.568,0.6,0.7,0.781,0.3,1.3,1.7,1.4,0.5,0.1,0.8,0.7,3.1
170,Evan Fournier\fournev01,SG,29,NYK,53,53,29,5.2,12,0.429,2.9,7.2,0.402,2.3,4.8,0.471,0.55,1,1.4,0.716,0.5,2.4,3,1.8,0.9,0.2,1.4,2.1,14.2
171,De'Aaron Fox\foxde01,PG,24,SAC,45,45,34.2,8,17.3,0.46,1,3.7,0.269,7,13.6,0.512,0.489,4.4,5.8,0.749,0.5,3.5,3.9,5.1,1.2,0.4,2.8,2.8,21.3
172,Tim Frazier\fraziti01,PG,31,ORL,10,3,20,1.3,4.3,0.302,0.6,1.7,0.353,0.7,2.6,0.269,0.372,0.5,0.9,0.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7
173,Enes Freedom\kanteen01,C,29,BOS,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7
174,Wenyen Gabriel\gabriwe01,PF,24,TOT,7,0,6.7,0.7,1.9,0.385,0.3,0.7,0.4,0.4,1.1,0.375,0.462,0.3,0.6,0.5,0.7,1.4,2.1,0.3,0.1,0.3,0.4,1.6,2
