Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,Marquese Chriss\chrisma01,PF,24,DAL,22,251,14.9,0.541,0.204,0.194,8.6,25.5,17,7.7,2.2,3.6,13.8,22,,0,0.5,0.5,0.103,,-4,1.1,-2.9,-0.1
102,Josh Christopher\chrisjo01,SG,20,HOU,46,765,13.4,0.564,0.381,0.228,4.4,8.9,6.7,16.8,2.4,0.7,17.8,20.8,,0.2,0.3,0.5,0.03,,-1.1,-1.5,-2.6,-0.1
103,Gary Clark\clarkga01,PF,27,NOP,22,241,10.5,0.529,0.818,0.109,6.2,18.2,12.1,4.6,1.4,2.4,8,11.2,,0.2,0.2,0.4,0.078,,-0.6,-0.5,-1.1,0.1
104,Brandon Clarke\clarkbr01,PF,25,MEM,41,766,25,0.678,0.066,0.279,10.7,19,14.7,11.6,1.2,5.3,6.1,17.6,,3.1,1,4.1,0.258,,3.9,0.8,4.7,1.3
105,Jordan Clarkson\clarkjo01,SG,29,UTA,52,1381,14,0.519,0.573,0.144,3.4,10.4,7,14.1,1.3,0.8,10,27.1,,0.6,1.2,1.8,0.062,,0.4,-1.5,-1.1,0.3
106,Nic Claxton\claxtni01,C,22,BRK,25,530,18.8,0.639,0,0.342,11.4,16.8,14.2,5.9,1.1,4.7,9.2,16,,1.3,0.5,1.8,0.166,,0.4,-0.5,-0.1,0.2
107,Amir Coffey\coffeam01,SG,24,LAC,43,949,14,0.628,0.598,0.272,2.4,11.9,7.3,10.6,1.1,0.9,6.7,14.4,,2,0.9,2.8,0.142,,0.7,0.2,1,0.7
108,John Collins\collijo01,PF,24,ATL,49,1543,20.2,0.626,0.263,0.268,6.3,21.4,13.9,9.4,1,3.2,7.5,20.5,,4.2,1.2,5.4,0.167,,2.3,-0.1,2.2,1.7
109,Zach Collins\colliza01,PF,24,SAS,2,31,21.7,0.508,0.154,0.308,23.3,23.9,23.6,27.6,4.7,0,21.3,25.6,,0,0.1,0.1,0.136,,0,2.1,2.1,0
110,Darren Collison\collida01,PG,34,LAL,3,37,-0.2,0.286,0.429,0,0,11.4,5.7,6.8,1.3,0,12.5,9.3,,-0.1,0,0,-0.063,,-10.1,-0.9,-11,-0.1
111,Mike Conley\conlemi01,PG,34,UTA,49,1395,18.5,0.594,0.527,0.213,2.4,9,5.9,27.3,2,0.9,12.3,21,,3.7,1.4,5.1,0.177,,3.4,0.4,3.7,2
112,Pat Connaughton\connapa01,SG,29,MIL,53,1441,13.8,0.636,0.735,0.091,2.8,14.1,8.5,6.4,1.7,1,6.8,13.6,,2.6,1.5,4.1,0.137,,1,0.4,1.3,1.2
113,Tyler Cook\cookty01,PF,24,CHI,18,192,13.5,0.645,0,0.861,9.3,20.1,14.8,2.1,1,1.8,12.4,13,,0.4,0.2,0.5,0.134,,-2.4,-1.2,-3.6,-0.1
114,Sharife Cooper\coopesh01,PG,20,ATL,10,35,-5.9,0.25,0.429,0,0,15.4,7.8,18.6,0,0,26.3,23.8,,-0.2,0,-0.2,-0.333,,-11.8,-5.6,-17.4,-0.1
115,Petr Cornelie\cornepe01,PF,26,DEN,13,38,10,0.418,0.533,0.267,21,20.2,20.6,11,1.3,2.4,19.3,24.2,,-0.1,0,0,-0.009,,-5.9,-2.8,-8.7,-0.1
116,DeMarcus Cousins\couside01,C,31,TOT,22,353,16.7,0.523,0.399,0.34,10.6,29.3,20.2,9.7,2.8,2.5,14.2,25.1,,0.1,0.7,0.8,0.106,,-2.5,0,-2.5,0
116,DeMarcus Cousins\couside01,C,31,MIL,17,287,19.5,0.572,0.407,0.322,9,26.5,18,9.5,2.7,2.8,10.6,22.5,,0.5,0.6,1.1,0.178,,-0.1,0.8,0.7,0.2
